First Name,Email ID,Quantity,Events,Attendee Status,College Name,How did you come to know about this event?,"Specify in ""Others"" (how did you come to know about this event)",Designation,Year of Graduation,City,CGPA,Experience with python (Months),Family Income,Expected salary (Lac),Leadership- skills,Average cgpa=,8.038475685
Manish,manish@xyz.com,1,Data Visualization using Power BI,Attending,"LD College of engineering, Ahmedabad, Gujarat ",Whatsapp,,Students,2024,Durg,7.8,4,0-2 Lakh,21,no,,
Ruchita ,ruchita@xyz.com,1,Data Visualization using Power BI,Attending,G H Raisoni institut of engineering and technology pune,Email,,Students,2025,Diu,8.4,7,0-2 Lakh,8,yes,,
Preeti,preeti@xyz.com,1,Data Visualization using Power BI,Attending,GOVERNMENT POLYTECHNIC GANDHINAGAR,Email,,Students,2026,Silvassa,6.7,7,0-2 Lakh,7,yes,,
SEJAL,sejal@xyz.com,1,Data Visualization using Power BI,Attending,St.Francis Institute of Technology,Cloud Counselage Website,,Students,2024,Ahemdabad,7.6,5,0-2 Lakh,8,no,,
Omkar,omkar@xyz.com,1,Data Visualization using Power BI,Attending,"MIT Academy Of Engineering ,Alandi",Email,,Students,2023,Jamnagar,6.6,4,0-2 Lakh,13,no,,
himanshu,himanshu@xyz.com,1,Data Visualization using Power BI,Attending,A. C. Patil College of Engineering,Email,,Students,2026,Junagadh,7.8,5,0-2 Lakh,24,no,,
Archana,archana@xyz.com,1,Data Visualization using Power BI,Attending,Wilson college ,Email,,Students,2025,Kheda,8.7,3,0-2 Lakh,17,no,,
Anuja,anuja@xyz.com,1,Data Visualization using Power BI,Attending,"LD College of engineering, Ahmedabad, Gujarat ",Email,,Students,2024,Morbi,7.2,7,0-2 Lakh,11,no,,
mansi,mansi@xyz.com,1,Data Visualization using Power BI,Attending,NA,Email,,Students,2025,Okha,8.5,7,0-2 Lakh,9,yes,,
Yogesh,yogesh@xyz.com,1,Data Visualization using Power BI,Attending,"MIT Academy Of Engineering ,Alandi",SPOC/ College Professor,,Students,2025,Surat,9.1,5,0-2 Lakh,7,no ,,
Rushikesh,rushikesh@xyz.com,1,Data Visualization using Power BI,Attending,Wilson college ,Youtube | Facebook | Instagram | Email | Cloud Counselage Website,,Students,2026,Ambala,8.7,5,0-2 Lakh,21,yes,,
MAYUR,mayur@xyz.com,1,Data Visualization using Power BI,Attending,"LD College of engineering, Ahmedabad, Gujarat ",Email,,Students,2024,Chandigarh,6.5,7,0-2 Lakh,30,no,,
Shubham,shubham@xyz.com,1,Data Visualization using Power BI,Attending,"THAKUR INSTITUTE OF MANAGEMENT STUDIES, CAREER DEVELOPMENT & RESEARCH - [TIMSCDR]",Email,,Students,2023,Gurugram,9.3,3,0-2 Lakh,8,no,,
Shantanu,shantanu@xyz.com,1,Data Visualization using Power BI,Attending,"Priyadarshini college of engineering, Nagpur ",Email,,Students,2025,Jind,6.5,4,0-2 Lakh,21,no,,
Rutuja,rutuja@xyz.com,1,Data Visualization using Power BI,Attending,"Vidyalankar Institute of Technology, Mumbai",SPOC/ College Professor,,Students,2024,Kaithal,8.7,3,0-2 Lakh,17,no,,
Pranjal,pranjal@xyz.com,1,Data Visualization using Power BI,Attending,CHHATTISGARH SWAMI VIVEKANANDA TECHNICAL UNIVERSITY TEACHING DEPARTMENT BHILAI,SPOC/ College Professor,,Students,2026,Karnal,9.1,4,0-2 Lakh,18,no,,
Gayatri,gayatri@xyz.com,1,Data Visualization using Power BI,Attending,Silicon Institute of Technology,Email | SPOC/ College Professor,,Students,2024,Panipat,9.2,7,0-2 Lakh,17,no,,
Anushree,anushree@xyz.com,1,Data Visualization using Power BI,Attending,ADHIYAMAAN COLLEGE OF ENGINEERING,SPOC/ College Professor,,Students,2023,Rewari,7.3,5,0-2 Lakh,8,no,,
Prathamesh,prathamesh@xyz.com,1,Data Visualization using Power BI,Attending,Pillai College of Engineering New Panvel,Whatsapp,,Students,2025,Sirsa,7.1,5,0-2 Lakh,8,yes,,
Vishal,vishal@xyz.com,1,Data Visualization using Power BI,Attending,"Vidyalankar Institute of Technology, Mumbai",SPOC/ College Professor,,Students,2025,Chamba,9.2,7,0-2 Lakh,28,no ,,
Harsh,harsh@xyz.com,1,Data Visualization using Power BI,Attending,,SPOC/ College Professor,,Students,2024,Kangra,9.9,4,0-2 Lakh,7,yes,,
sarvesh,sarvesh@xyz.com,1,Data Visualization using Power BI,Attending,A. C. Patil College of Engineering,Email | Cloud Counselage Website,,Students,2023,Hamirpur,9.3,3,0-2 Lakh,7,yes,,
Mohamed,mohamed@xyz.com,1,Data Visualization using Power BI,Attending,"LD College of engineering, Ahmedabad, Gujarat ",SPOC/ College Professor,,Students,2024,Mandi,7.5,5,0-2 Lakh,5,no,,
Aaron,aaron@xyz.com,1,Data Visualization using Power BI,Attending,DKTE Society's Textile And Engineering Institute Ichalkaranji,Whatsapp | Cloud Counselage Website,,Students,2023,Shimla,7.3,4,0-2 Lakh,6,no,,
ADITYA,aditya@xyz.com,1,Data Visualization using Power BI,Attending,"LD College of engineering, Ahmedabad, Gujarat ",Whatsapp,,Students,2025,Una,7.4,4,0-2 Lakh,6,yes,,
SAKSHI,sakshi@xyz.com,1,Data Visualization using Power BI,Attending,G H Raisoni institut of engineering and technology pune,Whatsapp,,Students,2025,Anantnag,8.3,7,0-2 Lakh,7,no,,
Pragati,pragati@xyz.com,1,Data Visualization using Power BI,Attending,GOVERNMENT POLYTECHNIC GANDHINAGAR,Email,,Students,2024,Baramula,7.4,7,0-2 Lakh,7,no,,
Prajwal,prajwal@xyz.com,1,Data Visualization using Power BI,Attending,"Vishwakarma Institute of Technology, Pune",Email,,Students,2024,Gulmarg,7.3,7,0-2 Lakh,5,no,,
Ayesha,ayesha@xyz.com,1,Data Visualization using Power BI,Attending,St.Francis Institute of Technology,Email,,Students,2024,Rajouri,7.2,7,0-2 Lakh,11,yes,,
Sakshi,sakshi@xyz.com,1,Data Visualization using Power BI,Attending,New horizon institute of Technology and Management ,Email,,Students,2025,Srinagar,7.1,3,0-2 Lakh,20,no ,,
Payal,payal@xyz.com,1,Data Visualization using Power BI,Attending,Late G. N. Sapkal College Of Engineering,SPOC/ College Professor,,Students,2025,Udhampur,8.7,4,0-2 Lakh,5,no ,,
Yogesh ,yogesh@xyz.com,1,Data Visualization using Power BI,Attending,"Symbiosis Institute of Technology, Pune",SPOC/ College Professor,,Students,2023,Badmi,8.7,7,0-2 Lakh,7,yes,,
Sahil,sahil@xyz.com,1,Data Visualization using Power BI,Attending,"MIT Academy Of Engineering ,Alandi",SPOC/ College Professor,,Students,2024,Ballari,8.2,4,0-2 Lakh,9,yes,,
Prem,prem@xyz.com,1,Data Visualization using Power BI,Attending,A. C. Patil College of Engineering,Email,,Students,2023,Bengaluru,6.8,4,0-2 Lakh,5,no,,
Pranav,pranav@xyz.com,1,Data Visualization using Power BI,Attending,"LD College of engineering, Ahmedabad, Gujarat ",Email,,Students,2026,Bidar,8.5,3,0-2 Lakh,9,no,,
Parth,parth@xyz.com,1,Data Visualization using Power BI,Attending,DKTE Society's Textile And Engineering Institute Ichalkaranji,Email,,Students,2023,Hasan,9.1,5,0-2 Lakh,13,yes,,
Siddharth,siddharth@xyz.com,1,Data Visualization using Power BI,Attending,"MIT Academy Of Engineering ,Alandi",Whatsapp | Telegram,,Students,2025,Kolar,9.5,4,0-2 Lakh,15,no,,
Shruti,shruti@xyz.com,1,Data Visualization using Power BI,Attending,Wilson college ,Facebook,,Students,2024,Kochi,6.7,7,0-2 Lakh,12,no,,
Chaitanya,chaitanya@xyz.com,1,Data Visualization using Power BI,Attending,DKTE Society's Textile And Engineering Institute Ichalkaranji,Email,,Students,2023,Thrissur,6.5,3,0-2 Lakh,20,no,,
Sanket,sanket@xyz.com,1,Data Visualization using Power BI,Attending,"THAKUR INSTITUTE OF MANAGEMENT STUDIES, CAREER DEVELOPMENT & RESEARCH - [TIMSCDR]",Email,,Students,2023,Bhopal,8.7,5,0-2 Lakh,20,yes,,
Yogesh,yogesh@xyz.com,1,Data Visualization using Power BI,Attending,LOKMANYA TILAK COLLEGE OF ENGINEERING KOPARKHAIRANE NAVI MUMBAI,Email,,Students,2025,Dhar,9.1,5,0-2 Lakh,14,yes,,
Siddharth,siddharth@xyz.com,1,Data Visualization using Power BI,Attending,"Priyadarshini college of engineering, Nagpur ",Cloud Counselage Website,,Students,2026,Indore,8.9,7,0-2 Lakh,16,no ,,
Shubham,shubham@xyz.com,1,Data Visualization using Power BI,Attending,CHHATTISGARH SWAMI VIVEKANANDA TECHNICAL UNIVERSITY TEACHING DEPARTMENT BHILAI,Whatsapp,,Students,2024,Gwalior,7.3,5,0-2 Lakh,8,yes,,
Shraddha,shraddha@xyz.com,1,Data Visualization using Power BI,Attending,"Priyadarshini college of engineering, Nagpur ",Whatsapp,,Students,2026,Akola,9.5,7,0-2 Lakh,19,no,,
Rishikesh,rishikesh@xyz.com,1,Data Visualization using Power BI,Attending,CHHATTISGARH SWAMI VIVEKANANDA TECHNICAL UNIVERSITY TEACHING DEPARTMENT BHILAI,Whatsapp,,Students,2023,Bhandara,9.6,3,0-2 Lakh,23,no,,
DEVANSHI,devanshi@xyz.com,1,Data Visualization using Power BI,Attending,Don Bosco College of Engineering Fatorda Goa,SPOC/ College Professor,,Students,2025,Buldhana,9.1,3,0-2 Lakh,5,yes,,
Ankita,ankita@xyz.com,1,Data Visualization using Power BI,Attending,"Vidyalankar Institute of Technology, Mumbai",Whatsapp,,Students,2024,Kalyan,6.8,4,0-2 Lakh,18,yes,,
Mohini,mohini@xyz.com,1,Data Visualization using Power BI,Attending,GOVERNMENT POLYTECHNIC GANDHINAGAR,Whatsapp | SPOC/ College Professor,,Students,2023,Thane,8.4,5,0-2 Lakh,23,yes,,
Dipti,dipti@xyz.com,1,Data Visualization using Power BI,Attending,"KLE Society's College of BCA, RLS Institute, Belagavi",Email,,Students,2023,Nagpur,6.7,5,0-2 Lakh,9,no,,
Ankita,ankita@xyz.com,1,Data Visualization using Power BI,Attending,"Priyadarshini college of engineering, Nagpur ",SPOC/ College Professor,,Students,2025,Nanded,7.6,3,0-2 Lakh,9,yes,,
Yogita ,yogita@xyz.com,1,Data Visualization using Power BI,Attending,New horizon institute of Technology and Management ,Whatsapp,,Students,2024,Karli,6.3,7,0-2 Lakh,13,no,,
Pragya ,pragya@xyz.com,1,Data Visualization using Power BI,Attending,Late G. N. Sapkal College Of Engineering,Whatsapp,,Students,2024,Matheran,8.9,3,0-2 Lakh,11,no,,
Rohit,rohit@xyz.com,1,Data Visualization using Power BI,Attending,"Symbiosis Institute of Technology, Pune",SPOC/ College Professor,,Students,2023,Nashik,9.5,7,0-2 Lakh,15,no,,
Aniket,aniket@xyz.com,1,Data Visualization using Power BI,Attending,"MIT Academy Of Engineering ,Alandi",SPOC/ College Professor,,Students,2023,Pune,8.5,4,0-2 Lakh,19,no,,
RAKSHA,raksha@xyz.com,1,Data Visualization using Power BI,Attending,Wilson college ,Whatsapp,,Students,2025,Satara,8.8,7,0-2 Lakh,12,yes,,
Ritesh,ritesh@xyz.com,1,Data Visualization using Power BI,Attending,"LD College of engineering, Ahmedabad, Gujarat ",Whatsapp | Email,,Students,2025,Sangli,7.9,7,0-2 Lakh,6,no ,,
Mihir,mihir@xyz.com,1,Data Visualization using Power BI,Attending,"THAKUR INSTITUTE OF MANAGEMENT STUDIES, CAREER DEVELOPMENT & RESEARCH - [TIMSCDR]",Friend/ Classmate,,Students,2024,Wardha,8.3,5,0-2 Lakh,7,yes,,
Nikita ,nikita@xyz.com,1,Data Visualization using Power BI,Attending,LOKMANYA TILAK COLLEGE OF ENGINEERING KOPARKHAIRANE NAVI MUMBAI,Whatsapp,,Students,2023,Ulhasnagar,6.4,4,0-2 Lakh,8,yes,,
Francis Mark,francismark@xyz.com,1,Data Visualization using Power BI,Attending,"Priyadarshini college of engineering, Nagpur ",Whatsapp,,Students,2024,Vasai,7.5,5,0-2 Lakh,5,no,,
Tanmay,tanmay@xyz.com,1,Data Visualization using Power BI,Attending,"Vidyalankar Institute of Technology, Mumbai",SPOC/ College Professor,,Students,2025,Shillong,7.7,4,0-2 Lakh,6,no,,
Varsha,varsha@xyz.com,1,Data Visualization using Power BI,Attending,CHHATTISGARH SWAMI VIVEKANANDA TECHNICAL UNIVERSITY TEACHING DEPARTMENT BHILAI,Email,,Students,2023,Puri,9.9,3,0-2 Lakh,6,no,,
Shubhangi,shubhangi@xyz.com,1,Data Visualization using Power BI,Attending,Silicon Institute of Technology,Whatsapp,,Students,2025,konark,7.6,4,0-2 Lakh,7,yes,,
Suraj,suraj@xyz.com,1,Data Visualization using Power BI,Attending,ADHIYAMAAN COLLEGE OF ENGINEERING,Whatsapp | SPOC/ College Professor,,Students,2024,Cuttack,7.9,3,0-2 Lakh,7,no,,
kiran,kiran@xyz.com,1,Data Visualization using Power BI,Attending,Don Bosco College of Engineering Fatorda Goa,Whatsapp,,Students,2026,Baleshwar,7.7,5,0-2 Lakh,8,no,,
Pratik,pratik@xyz.com,1,Data Visualization using Power BI,Attending,Pillai College of Engineering New Panvel,SPOC/ College Professor,,Students,2024,Mahe,7.4,4,0-2 Lakh,5,no,,
Mayur,mayur@xyz.com,1,Data Visualization using Power BI,Attending,St Xavier's College ,Whatsapp | SPOC/ College Professor,,Students,2023,Amritsar,9.2,3,0-2 Lakh,6,no,,
Sonali,sonali@xyz.com,1,Data Visualization using Power BI,Attending,"Vidyalankar Institute of Technology, Mumbai",SPOC/ College Professor,,Students,2023,Patiala,7.6,5,0-2 Lakh,8,no,,
Mohammed Sarfaraz ,mohammedsarfaraz@xyz.com,1,Data Visualization using Power BI,Attending,"S.I.E.S. Graduate School Of Technology, Nerul, Navi Mumbai",Youtube | Whatsapp | Email,,Students,2025,Sangrur,8.7,7,0-2 Lakh,11,yes,,
Saurabh,saurabh@xyz.com,1,Data Visualization using Power BI,Attending,G H Raisoni institut of engineering and technology pune,SPOC/ College Professor,,Students,2025,Ajmer,9.5,3,0-2 Lakh,20,yes,,
Shubhankar ,shubhankar@xyz.com,1,Data Visualization using Power BI,Attending,GOVERNMENT POLYTECHNIC GANDHINAGAR,Whatsapp | Email,,Students,2024,Amer,6.9,4,0-2 Lakh,5,no ,,
Rishikesh,rishikesh@xyz.com,1,Data Visualization using Power BI,Attending,"B. K. Birla College of Arts, Science & Commerce (Autonomous), Kalyan",Email,,Students,2026,Barmer,9.2,4,0-2 Lakh,7,no ,,
ROSHAN,roshan@xyz.com,1,Data Visualization using Power BI,Attending,"Vishwakarma Institute of Technology, Pune",SPOC/ College Professor,,Students,2023,Bikaner,6.9,5,0-2 Lakh,9,yes,,
Shivani,shivani@xyz.com,1,Data Visualization using Power BI,Attending,GOVERNMENT POLYTECHNIC GANDHINAGAR,Facebook,,Students,2024,Jhalwar,6.5,5,0-2 Lakh,9,no,,
Ritik,ritik@xyz.com,1,Data Visualization using Power BI,Attending,"B. K. Birla College of Arts, Science & Commerce (Autonomous), Kalyan",Email,,Students,2025,Jodhpur,7.5,7,0-2 Lakh,13,no,,
pratiksha,pratiksha@xyz.com,1,Data Visualization using Power BI,Attending,"Vishwakarma Institute of Technology, Pune",SPOC/ College Professor,,Students,2023,Kota,6.9,5,0-2 Lakh,15,yes,,
Pallavi,pallavi@xyz.com,1,Data Visualization using Power BI,Attending,"KLE Society's College of BCA, RLS Institute, Belagavi",Facebook,,Students,2025,Pali,7.6,4,0-2 Lakh,14,no,,
Tanmay,tanmay@xyz.com,1,Data Visualization using Power BI,Attending,"Priyadarshini college of engineering, Nagpur ",Whatsapp,,Students,2026,Sikar,6.5,3,0-2 Lakh,12,no,,
Anant,anant@xyz.com,1,Data Visualization using Power BI,Attending,St.Francis Institute of Technology,SPOC/ College Professor,,Students,2023,Gangtok,7.3,5,0-2 Lakh,5,no,,
Shrinath ,shrinath@xyz.com,1,Data Visualization using Power BI,Attending,New horizon institute of Technology and Management ,Email,,Students,2024,Hyderbad,6.7,5,0-2 Lakh,20,no,,
JYOTI ,jyoti@xyz.com,1,Data Visualization using Power BI,Attending,A. C. Patil College of Engineering,Youtube | Whatsapp,,Students,2025,Aligarh,7.2,4,0-2 Lakh,9,no ,,
Abhishek,abhishek@xyz.com,1,Data Visualization using Power BI,Attending,Wilson college ,Email,,Students,2026,Gonda,8.5,7,0-2 Lakh,8,no ,,
Chandan,chandan@xyz.com,1,Data Visualization using Power BI,Attending,DKTE Society's Textile And Engineering Institute Ichalkaranji,SPOC/ College Professor,,Students,2024,Ghaziabad,6.6,4,0-2 Lakh,7,yes,,
Jyoti,jyoti@xyz.com,1,Data Visualization using Power BI,Attending,"LD College of engineering, Ahmedabad, Gujarat ",SPOC/ College Professor,,Students,2023,Gonda,9.5,4,0-2 Lakh,8,no,,
Satish,satish@xyz.com,1,Data Visualization using Power BI,Attending,GOVERNMENT POLYTECHNIC GANDHINAGAR,SPOC/ College Professor,,Students,2025,Hamirpur,9.7,3,0-2 Lakh,8,no,,
Naresh,naresh@xyz.com,1,Data Visualization using Power BI,Attending,"Vishwakarma Institute of Technology, Pune",Email,,Students,2024,Budaun,9.1,4,0-2 Lakh,5,no,,
Satyam,satyam@xyz.com,1,Data Visualization using Power BI,Attending,Late G. N. Sapkal College Of Engineering,Twitter,,Students,2025,Mainpuri,8.7,5,0-2 Lakh,5,yes,,
Saurav,saurav@xyz.com,1,Data Visualization using Power BI,Attending,A. C. Patil College of Engineering,Friend/ Classmate,,Students,2025,Alipore,8.6,4,0-2 Lakh,18,no ,,
ravi,ravi@xyz.com,1,Data Visualization using Power BI,Attending,Wilson college ,SPOC/ College Professor,,Students,2026,Haora,8.5,7,0-2 Lakh,23,yes,,
Harshal,harshal@xyz.com,1,Data Visualization using Power BI,Attending,"LD College of engineering, Ahmedabad, Gujarat ",Cloud Counselage Website,,Students,2024,Durgapur,9.1,7,0-2 Lakh,17,yes,,
Ayush ,ayush@xyz.com,1,Data Visualization using Power BI,Attending,"Priyadarshini college of engineering, Nagpur ",Email,,Students,2023,Kolkata,7.5,7,0-2 Lakh,9,no,,
Pratham,pratham@xyz.com,1,Data Visualization using Power BI,Attending,CHHATTISGARH SWAMI VIVEKANANDA TECHNICAL UNIVERSITY TEACHING DEPARTMENT BHILAI,Email,,Students,2025,Palashi,7.6,7,0-2 Lakh,17,yes,,
Vaishnavi,vaishnavi@xyz.com,1,Data Visualization using Power BI,Attending,Silicon Institute of Technology,SPOC/ College Professor,,Students,2025,Santipur,7.3,7,0-2 Lakh,13,no,,
Francis Mark,francismark@xyz.com,1,Data Visualization using Power BI,Attending,ADHIYAMAAN COLLEGE OF ENGINEERING,Whatsapp,,Students,2023,Siliguri,7.3,5,0-2 Lakh,11,no,,
Tanmay,tanmay@xyz.com,1,Data Visualization using Power BI,Attending,Don Bosco College of Engineering Fatorda Goa,SPOC/ College Professor,,Students,2024,Silguri,9.4,4,0-2 Lakh,15,no,,
Varsha,varsha@xyz.com,1,Data Visualization using Power BI,Attending,Pillai College of Engineering New Panvel,Email,,Students,2026,Siuri,6.6,7,0-2 Lakh,19,no,,
Shubhangi,shubhangi@xyz.com,1,Data Visualization using Power BI,Attending,St Xavier's College ,Whatsapp,,Students,2023,Talmuk,6.6,5,0-2 Lakh,18,no,,
Suraj,suraj@xyz.com,1,Data Visualization using Power BI,Attending,"Vidyalankar Institute of Technology, Mumbai",Whatsapp | SPOC/ College Professor,,Students,2024,Talmuk,8.5,4,0-2 Lakh,12,yes,,
kiran,kiran@xyz.com,1,Data Visualization using Power BI,Attending,GOVERNMENT POLYTECHNIC GANDHINAGAR,Whatsapp,,Students,2025,Siuri,7.7,4,0-2 Lakh,23,yes,,
Pratik,pratik@xyz.com,1,Data Visualization using Power BI,Attending,"B. K. Birla College of Arts, Science & Commerce (Autonomous), Kalyan",SPOC/ College Professor,,Students,2025,Titagrah,8.1,7,0-2 Lakh,8,no ,,
Mayur,mayur@xyz.com,1,Data Visualization using Power BI,Attending,"Vishwakarma Institute of Technology, Pune",Whatsapp | SPOC/ College Professor,,Students,2023,Orchha,7.9,4,0-2 Lakh,9,no ,,
Sonali,sonali@xyz.com,1,Data Visualization using Power BI,Attending,"KLE Society's College of BCA, RLS Institute, Belagavi",SPOC/ College Professor,,Students,2024,Sagar,7.1,7,0-2 Lakh,7,yes,,
Mohammed Sarfaraz ,mohammedsarfaraz@xyz.com,1,Data Visualization using Power BI,Attending,"Priyadarshini college of engineering, Nagpur ",Youtube | Whatsapp | Email,,Students,2023,Satna,8.3,5,0-2 Lakh,13,yes,,
Saurabh,saurabh@xyz.com,1,Data Visualization using Power BI,Attending,St.Francis Institute of Technology,SPOC/ College Professor,,Students,2024,Ujjain,7.7,3,0-2 Lakh,19,no,,
Suraj,suraj@xyz.com,1,Data Visualization using Power BI,Attending,New horizon institute of Technology and Management ,Email,,Students,2025,Vidisha,8,3,0-2 Lakh,25,no,,
Shruti,shruti@xyz.com,1,Data Visualization using Power BI,Attending,Late G. N. Sapkal College Of Engineering,SPOC/ College Professor,,Students,2023,Akola,6.5,7,0-2 Lakh,22,no,,
Rahul,rahul@xyz.com,1,Data Visualization using Power BI,Attending,"Symbiosis Institute of Technology, Pune",Whatsapp,,Students,2025,Aurangabad,9.4,3,0-2 Lakh,6,yes,,
Aparna ,aparna@xyz.com,1,Data Visualization using Power BI,Attending,"MIT Academy Of Engineering ,Alandi",Whatsapp,,Students,2026,Bhandara,6.8,4,0-2 Lakh,9,no,,
Suraj,suraj@xyz.com,1,Artificial Intelligence,Attending,A. C. Patil College of Engineering,Email,,Students,2024,Bhsawal,6.7,7,0-2 Lakh,20,no,,
Shruti,shruti@xyz.com,1,Artificial Intelligence,Attending,Wilson college ,SPOC/ College Professor,,Students,2024,Bid,7.9,5,0-2 Lakh,15,no,,
Rahul,rahul@xyz.com,1,Artificial Intelligence,Attending,"LD College of engineering, Ahmedabad, Gujarat ",Whatsapp,,Students,2023,Buldhana,9.3,7,0-2 Lakh,17,no,,
Aparna ,aparna@xyz.com,1,Artificial Intelligence,Attending,DKTE Society's Textile And Engineering Institute Ichalkaranji,Whatsapp,,Students,2023,Dhule,6.9,7,0-2 Lakh,19,no,,
Vidya,vidya@xyz.com,1,Artificial Intelligence,Attending,"THAKUR INSTITUTE OF MANAGEMENT STUDIES, CAREER DEVELOPMENT & RESEARCH - [TIMSCDR]",Whatsapp | Email,,Students,2025,Jalgaon,8.9,4,0-2 Lakh,13,yes,,
Mrunal,mrunal@xyz.com,1,Artificial Intelligence,Attending,LOKMANYA TILAK COLLEGE OF ENGINEERING KOPARKHAIRANE NAVI MUMBAI,LinkedIn | Email,,Students,2025,Kalyan,8.3,7,0-2 Lakh,11,yes,,
Vishal,vishal@xyz.com,1,Artificial Intelligence,Attending,"Priyadarshini college of engineering, Nagpur ",Email,,Students,2024,Thane,7.2,3,0-2 Lakh,12,no ,,
Vaishnavi ,vaishnavi@xyz.com,1,Artificial Intelligence,Attending,"Vidyalankar Institute of Technology, Mumbai",Whatsapp,,Students,2024,Navi Mumbai,8.1,5,0-2 Lakh,10,no ,,
Vaishnavi,vaishnavi@xyz.com,1,Artificial Intelligence,Attending,Silicon Institute of Technology,Others,,Students,2023,Nagpur,9.6,4,0-2 Lakh,10,yes,,
Ashutosh ,ashutosh@xyz.com,1,Artificial Intelligence,Attending,Pillai College of Engineering New Panvel,Whatsapp,,Students,2024,Amritsar,9.3,5,0-2 Lakh,20,no,,
Shubham,shubham@xyz.com,1,Artificial Intelligence,Attending,St Xavier's College ,Others,,Students,2024,Patiala,9.6,5,0-2 Lakh,21,yes,,
Sonal,sonal@xyz.com,1,Artificial Intelligence,Attending,"Vidyalankar Institute of Technology, Mumbai",Whatsapp,,Students,2023,Sangrur,9.1,4,0-2 Lakh,9,no,,
Ashutosh,ashutosh@xyz.com,1,Artificial Intelligence,Attending,GOVERNMENT POLYTECHNIC GANDHINAGAR,Cloud Counselage Website,,Students,2024,Barmer,7.6,7,0-2 Lakh,7,no,,
Deepa ,deepa@xyz.com,1,Artificial Intelligence,Attending,"B. K. Birla College of Arts, Science & Commerce (Autonomous), Kalyan",Cloud Counselage Website,,Students,2026,Bikaner,8,4,0-2 Lakh,21,no,,
Rutuja,rutuja@xyz.com,1,Artificial Intelligence,Attending,"Vishwakarma Institute of Technology, Pune",Email,,Students,2023,Jaipur,7.2,4,0-2 Lakh,5,yes,,
Gaurav,gaurav@xyz.com,1,Artificial Intelligence,Attending,"KLE Society's College of BCA, RLS Institute, Belagavi",Email,,Students,2025,Jalor,9.1,7,0-2 Lakh,16,yes,,
Ankit,ankit@xyz.com,1,Artificial Intelligence,Attending,GOVERNMENT POLYTECHNIC GANDHINAGAR,Email,,Students,2023,Jodhpur,7.1,4,0-2 Lakh,8,no ,,
Mansi,mansi@xyz.com,1,Artificial Intelligence,Attending,New horizon institute of Technology and Management ,Whatsapp,,Students,2026,Dwarka,7.3,3,0-2 Lakh,17,yes,,
Dhruv ,dhruv@xyz.com,1,Artificial Intelligence,Attending,Late G. N. Sapkal College Of Engineering,Whatsapp,,Students,2024,Godhra,7.8,7,0-2 Lakh,11,no,,
Parth,parth@xyz.com,1,Artificial Intelligence,Attending,"MIT Academy Of Engineering ,Alandi",Whatsapp,,Students,2023,Junagadh,6.9,7,0-2 Lakh,8,no,,
Shubham,shubham@xyz.com,1,Artificial Intelligence,Attending,"LD College of engineering, Ahmedabad, Gujarat ",Others,,Students,2024,Nadiad,9.2,7,0-2 Lakh,21,yes,,
Harshil ,harshil@xyz.com,1,Artificial Intelligence,Attending,DKTE Society's Textile And Engineering Institute Ichalkaranji,Email,,Students,2024,Navsari,7.3,7,0-2 Lakh,25,yes,,
Dhruv,dhruv@xyz.com,1,Artificial Intelligence,Attending,"LD College of engineering, Ahmedabad, Gujarat ",LinkedIn | Cloud Counselage Website,,Students,2023,Okha,7.9,3,0-2 Lakh,21,no ,,
Vaibhav,vaibhav@xyz.com,1,Artificial Intelligence,Attending,"b. k. birla college of arts, science & commerce (autonomous), kalyan",Email | Cloud Counselage Website,,Students,2025,Valsad,9.3,3,0-2 Lakh,8,yes,,
PRASHANT,prashant@xyz.com,1,Artificial Intelligence,Attending,don bosco college of engineering fatorda goa,Email,,Students,2024,Faridabad,6.6,4,0-2 Lakh,17,no,,
Mahesh ,mahesh@xyz.com,1,Artificial Intelligence,Attending,pillai college of engineering new panvel,Whatsapp,,Students,2024,Gurugram,7.8,5,0-2 Lakh,18,yes,,
Rohit ,rohit@xyz.com,1,Artificial Intelligence,Attending,"vidyalankar institute of technology, mumbai",Whatsapp,,Students,2026,Jind,7.2,7,0-2 Lakh,8,no,,
Amit,amit@xyz.com,1,Artificial Intelligence,Attending,"s.i.e.s. graduate school of technology, nerul, navi mumbai",Email,,Students,2023,Kaithal,7.1,5,0-2 Lakh,8,no,,
Isha,isha@xyz.com,1,Artificial Intelligence,Attending,government polytechnic gandhinagar,Whatsapp,,Students,2025,Agartala,8.5,7,0-2 Lakh,8,no,,
Shweta,shweta@xyz.com,1,Artificial Intelligence,Attending,"b. k. birla college of arts, science & commerce (autonomous), kalyan",Email,,Students,2024,Agra,8.5,7,0-2 Lakh,8,yes,,
shubham,shubham@xyz.com,1,Artificial Intelligence,Attending,"vishwakarma institute of technology, pune",Others,,Students,2024,Aligarh,9.1,3,0-2 Lakh,9,yes,,
Dhanashree,dhanashree@xyz.com,1,Artificial Intelligence,Attending,"kle society's college of bca, rls institute, belagavi",Email,,Students,2023,Gonda,9.7,3,0-2 Lakh,9,no ,,
Sakshi,sakshi@xyz.com,1,Artificial Intelligence,Attending,"MIT Academy Of Engineering ,Alandi",Cloud Counselage Website,,Students,2024,Gorakhpur,9.3,7,0-2 Lakh,15,no,,
